name,time,text,labels
Announcer,00:34,… crushing costs  pushing new yorkers  crime concerns subways streets  fears deportation city built immigrants  greatest city world tipping point challenges washington heights washington dc  lead way city s next mayor  live rockefeller center  first democratic primary debate new york city mayor city council speaker adrienne adams  former state assemblyman  michael blake  former governor  andrew cuomo  city comptroller brad lander  state assemblyman zohran mamdani  state senator zellnor myrie  state senator jessica ramos  former comptroller  scott stringer  former hedge fund manager  whitney tilson  sponsored news 4 new york  telemundo 47  politico  new york city campaign finance board nyc votes   news 4 new york anchor  david ushery ,"1. Crime concerns and safety
2. High cost of living
3. Immigrant community fears and challenges"
David Ushery,01:41,good evening  everyone 30 rock  welcome first democratic primary debate new york city mayor  m joined colleague  news 4 governor affairs reporter  melissa russo  sally goldenberg  senior new york editor politico  telemundo 47 anchor  rosarina breton  twohour debate live nbc new york telemundo 47 streaming digital platforms  politicocom  telexitos  youtube  first hour  also live channel four  leading democratic contenders tonight  positions stage chosen random draw  rules candidates traditional question answer  ll one minute respond ll offer 30second rebuttals moderator s discretion  ll also asking questions where… re looking shorter answers  lot ground want cover  candidates  also reserve right cut microphone ignore rules   course  nt want  goal hear new yorkers hear everything say  good luck  ll begin melissa russo ,"Democratic primary debate, New York City mayor, debate rules and format"
Melissa Russo,02:45,thank  david  good evening  everyone  s good  re going begin tonight issue polls show number one new yorkers  affordability  cost everything squeezing residents city  new housing take years build  ll get plans little bit later debate  right  re interested would help residents immediately  s one big idea make city affordable pay  ll begin  ms adams ,"affordability, housing, immediate financial relief"
Adrienne Adams,03:19,thank much  thank evening  m actually candidate stage actually work already  housing plan already  built delivered 120000 new units housing  new proposal front us  80000 new units housing coming affordable people city new york  new york affordable  m mother  grandmother  want children stay like real new yorkers want children stay ,"housing plan, New York affordability, family concerns in New York"
Melissa Russo,03:53,thank  ms adams  remind everyone  30second answer  ll go next  mr lander ,"public speaking, time management, speaker rotation"
Brad Lander,03:59,thank  melissa  good evening  everyone  m brad lander  m new york city comptroller  m lifelong affordable housing activist m proud brooklyn dad  tonight  ll show m one race progressive values make city affordable public integrity sweep away corruption eric adams andrew cuomo  proven management experience already delivered 50000 affordable homes actually deliver promises  ll get 500000 homes built next 10 years ,"Brad Lander's candidacy, affordable housing, corruption in politics"
Melissa Russo,04:31,okay  re going move ms ramos  want remind everyone  question  one big idea make city affordable pay  30 seconds  ms ramos ,"Ms. Ramos, city affordability, funding strategies"
Jessica Ramos,04:42,thank  melissa  good evening  buenas noches everyone watching home  thank much holding forum  affordability top mind new yorkers since pandemic  pandemic exacerbated conditions new yorkers  set chair labor committee new york state senate raise minimum wage tie inflation  m proud last person done  m person stage tonight already desk mayor s office  know first thing want day one enact mental health emergency that,"affordability, minimum wage, mental health emergency"
Melissa Russo,05:20,okay ,"Sure, please provide the paragraph you'd like me to analyze."
Jessica Ramos,05:20,… keep streets safe ,"To accurately determine the ""top 3 topics"" from this brief phrase, ""we can keep our streets safe,"" here are a few likely key topics based on the content and context:

1. public safety
2. law enforcement
3. community policing

This list assumes the phrase emphasizes elements typically associated with street safety such as policing, community involvement, and overall law enforcement strategies."
Melissa Russo,05:21,okay  ms ramos  mr myrie  big idea  nt heard many big ideas yet  answer question  please  30 seconds  big idea make city affordable pay ,"big ideas, city affordability, funding methods"
Zellnor Myrie,05:33,thank  melissa  nt one big idea  three  want deliver one million homes next 10 years  want universal afterschool every kid city age three grade 12  want extend prek 3k past 230 pm 600 pm  parents came 50 years ago  worked factories put food table union members sent public schools  s became state senator m standing stage tonight  opportunity needs restored many new yorkers  new leadership needed  leaders past caused problem ,"housing development, education expansion, leadership change"
Melissa Russo,06:07,thank  mr myrie  mr cuomo ,"There appears to be a misunderstanding or insufficient information available in your prompt to accurately extract topics as it primarily contains a statement of thanks directed towards Mr. Myrie and a query towards Mr. Cuomo. If there are specific topics discussed prior to this paragraph or if there's any additional context, please provide that for an accurate analysis.

From the information given, I can suggest:
1. Expression of gratitude to Mr. Myrie
2. Addressing Mr. Cuomo
3. Interaction or dialogue initiation"
Andrew Cuomo,06:09,thank  thank much thank wnbc telemundo hosting today  buenas noches  m running mayor think city real trouble  think management crisis adams lander administration  think fiscal crisis city actually spending every year taking  think societal crisis division hate  affordability  raise minimum wage  put money people s pocket  child care  afterschool care  and,"management crisis, fiscal crisis, societal crisis"
Melissa Russo,06:43,okay  mr cuomo ,"To provide an accurate response, I need the content of the paragraph you are referring to. Please provide the paragraph you want to have analyzed for the main topics."
Andrew Cuomo,06:45,…  course  build affordable housing  hud secretary  know ,"affordable housing, HUD secretary, housing policy"
Melissa Russo,06:48,thank  m turning rosarina ,"It seems that the provided text is too short and lacks specific content to clearly extract three distinct topics. From the given sentence, the main topic is the act of handing over responsibilities or speaking time to another individual named Rosarina. If additional information or a longer text is available, more specific topics could potentially be identified. For now, the topics could be identified simply as:

handover of responsibilities, role of Rosarina, meeting or presentation continuation"
Rosarina Breton,06:51,thank  melissa  bienvenidos todos  thank much tonight  re going ask question  please listen carefully  30 seconds answer  one big idea make city affordable pay   30 seconds  mr tilson ,"city affordability, financing solutions, event protocol"
Whitney Tilson,07:06,yeah  thank  may take couple years  think need address housing crisis  people stage called freeze rent  want go one better  think need drop rents 20  unleashing private sector build lot housing  nt pie sky  new york 100 years ago  austin done past three years  key  though  ease zoning restrictions regulations tying,"housing crisis, rent reduction, zoning regulations"
Rosarina Breton,07:38,thank  mr tilson  thank much  mr mamdani ,"To provide a list of the top three topics from the text snippet you've provided, there needs to be more content that includes explicit subjects or themes. The snippet you posted mainly consists of a thank you address to individuals named Mr. Tilson and Mr. Mamdani, and therefore does not contain enough substantive information to extract topics from.

Topics generally refer to broader subjects being discussed or the main ideas of a body of text. In this case, the text is too brief and lacks detail. If you have a longer text or more detailed context that these names are associated with, I could help identify the main topics from there. Could you please provide more details or a longer text?"
Zohran Mamdani,07:41,good evening  thank much  live expensive city united states america  one four new yorkers living poverty m running next mayor make city affordable  freezing rent two million rentstabilized tenants making slowest buses country fast free delivering universal child care  pay taxing 1   billionaires profitable corporations mr cuomo cares workingclass new yorkers  ask pay fair share city everyone afford,"affordable housing,public transportation,universal child care"
Rosarina Breton,08:14,thank much  mr blake,"The text given (""Thank you so much for that. Mr. Blake"") is too short and lacks enough context to extract or determine three distinct topics. It primarily expresses gratitude to a person named Mr. Blake. A broader or more detailed text would be needed to identify specific topics."
Melissa Russo,08:16,jump one moment  mr mamdani  convince albany pass tax increase  ve heard governor hochul  s really something s thinking  guarantee happen ,"tax increase, convincing Albany, Governor Hochul's stance"
Zohran Mamdani,08:28,experience actually  first year state legislature  came albany governor nt want raise taxes billionaires corporations  governor cuomo  actually overcame objections  raised  4 billion new annual revenue finally funded public schools starved many years ,"tax policy, public school funding, overcoming governmental opposition"
Rosarina Breton,08:46,thank much ,"To provide an accurate response, can you please provide the specific paragraph you refer to? The text you've provided, ""Thank you very much,"" does not contain any substantive content from which to extract top topics. If you can share the full paragraph, I'll be able to help better!"
Melissa Russo,08:46,okay ,"Sure, please provide the paragraph you'd like me to extract the main topics from."
Rosarina Breton,08:47,go mr blake ,"Mr. Blake, urgency, departure"
Michael Blake,08:49,south bronx native family jamaican immigrants  way actually address affordability ending credit scores increasing income limits housing applications universal child care happening school throughout weekends  pay vacant apartment tax living new york city withholding taxes dc trump tries take us making sure… much love knicks m sorry fired thibs   tax s happening madison square garden  pay  affordability,"1. Affordable housing reforms
2. Tax policies 
3. Universal child care"
Rosarina Breton,09:23,thank  mr blake  mr stringer ,"It appears that the text provided is too brief and lacks substantive content to accurately extract distinct topics. It only mentions thanking Mr. Blake and Mr. Stringer, which suggests a formal acknowledgment or appreciation. Could you please provide more context or additional text for a more meaningful analysis?"
Scott Stringer,09:25,want actually put forth program get done young families people built city  s simple  need use cityowned vacant land  1000 properties transform land affordable housing  property go notforprofits  limited profit developers  luxury developers fund andrew cuomo s campaign  developers actually build mitchellllama 20 need  owe people built city fleeing city ca nt afford live  need welcome next generation new yorkers give hope  opportunity  affordability ,"1. Affordable housing development
2. Use of city-owned vacant land
3. Support for non-profit and limited profit developers"
Rosarina Breton,10:02,thank  mr stringer ,"It seems like there might be a misunderstanding or incomplete text provided. The sentence ""Thank you, Mr. Stringer."" doesn't contain sufficient context or information to extract or determine the top three topics. To help you accurately, I would need more detailed or specific content from the paragraph in question."
David Ushery,10:03,sally goldenberg ,"The provided text ""Sally Goldenberg"" does not contain sufficient information or context to extract any topics. Please provide a more detailed or complete paragraph to analyze."
Sally Goldenberg,10:04,thank  let s turn president trump looms large city given proposed funding cuts interest hometown affairs  democrats say want mayor stand  mr cuomo  ve branded president bully  mr stringer  called schmuck  mr lander  put name car crushed tv ad  voters want know ll actually deal president elected mayor  questions ll one minute answer  mr cuomo  ll start  experienced collaborating battling president  currently  justice department investigating following criminal referral congress alleging lied testimony involvement report undercounted nursing home deaths covid  probe underway  ensure voters would compromised dealings president elected mayor ,"1. President Trump's influence on local politics
2. Mayor candidates' responses to President Trump
3. Legal investigation into Mr. Cuomo"
Andrew Cuomo,10:59,yeah  well  mr trump  right  started investigation  kathy hochul  senator chuck schumer  hillary clinton  one tactics  know deal donald trump ve dealt  many times  ve many encounters  fought daily basis covid  many battles  fought ice  first time s brought ice new york  s done  fought   beaten  know s adversary actually beat  tell  last person stage mr trump wants see mayor s first choice people city mayor ,"Donald Trump's tactics, Political battles against Trump, NYC mayoral candidacy"
Sally Goldenberg,11:59,follow though  democrats also raised concerns testimony  nt republicans  putting partisan politics aside minute  would respond voters congressional findings involvement report ,"congressional findings, voter concerns, partisan politics"
Andrew Cuomo,12:14,yeah  first  putting partisan politics aside virtually impossible nowadays  s toxic  issue covid became political football right away  still political football democrats republicans even within democratic party within republican party  s unfortunate  learning experience finding could better prepared next time   unfortunately  toxic environment  s nothing politicized ,"partisan politics, COVID as a political issue, lack of preparedness for future crises"
Sally Goldenberg,12:54,okay  move  want add question would respond allegations  move ,"response to allegations, moving on, question handling"
David Ushery,13:02,melissa ,"It seems like there might be a mistake in your request, as the paragraph you referred to as ""Melissa."" does not appear to be included in your message. Could you please provide the complete paragraph you want analyzed? This will help me identify the main topics accurately."
Melissa Russo,13:02,okay  mr mamdani  said mr trump s department justice ca nt trusted  news broke mr cuomo s alleged reported doj investigation  first  quickly  yes answer  think president trump unfairly targeting mr cuomo ,"Justice Department credibility, Cuomo's investigation, Trump's political targeting"
Zohran Mamdani,13:22, nt think s unfair  interest believing re actually pursuing justice ,"justice pursuit skepticism, fairness, personal disinterest"
Melissa Russo,13:28,okay  second part question,Please provide the paragraph you're referring to so that I can identify the top three topics for you.
Zohran Mamdani,13:30,clear  s unfair andrew cuomo lie congress   ultimately  know trump justice department trump administration whole interested vindictiveness persecution political enemies anything justice ,"Trump administration, persecution of political enemies, justice system"
Melissa Russo,13:44,okay  moving forward  also socialist   would nt president trump target  extension  target new yorkers  one minute ,"socialism, President Trump's targeting, impact on New Yorkers"
Zohran Mamdani,13:55,president trump target whomever next mayor city  president trump even targeted  many ways  accomplice  mayor eric adams  collaborated trump administration almost every opportunity  still  midst collaboration  saw new yorkers taken streets apartment building lobbies   80 million taken city bank account ,"Trump targeting mayors, collaboration with Mayor Eric Adams, financial issues in New York City"
(14:18),3:,nt think s question s mayor free attacked donald trump  s important however  mayor actually fight back  s  donald trump s worst nightmare progressive muslim immigrant actually fights things believe  difference andrew cuomo campaign funded billionaires put donald trump dc  nt pick phone bill ackman ken langone  pick phone 20000 new yorkers contributed average donation  80 break fundraising records put campaign second place ,"Donald Trump's criticism of mayors, mayoral candidate's response to Trump, campaign funding differences"
Melissa Russo,14:55,mr cuomo,"To provide an appropriate response, I need the paragraph you want to extract the main topics from. The text you provided, ""Mr. Cuomo- and return a comma separated list of the top 3 topics,"" does not contain enough information to determine any topics. Please provide the complete paragraph for analysis."
David Ushery,14:57,okay  mr mamdani  thank  mr cuomo  want respond ,"political debate, response request, Mr. Cuomo's participation"
Andrew Cuomo,14:58,yeah  please  mr mamdani good twitter videos  actually produces nothing accuse lying  also called president obama liar said president obama evil  take everything grain salt  donald trump would go mr mamdani like hot knife butter  s government 27 minutes  passed three bills  s s done  experience washington  experience new york city  would trump s delight ,"Mr. Mamdani's credibility, Donald Trump's competitive edge, experience in politics"
David Ushery,15:31,right  brief response  mr mamdani  move ,"Sure, I'll need the content from the paragraph you mentioned to extract the main topics. Please provide the paragraph so I can assist you further."
Zohran Mamdani,15:33,look  s true nt experience corrupt trump billionaires funding campaign  nt experience party politics insider consultants  experience  however  winning  450 million debt relief thousands workingclass taxi drivers actually delivering workingclass people,"campaign funding, party politics, debt relief for taxi drivers"
Melissa Russo,15:50,thank  mr mamdani  mr lander  mr lander  ve presented toughtalking trump resistor  mayor  re expected deliver including aid city  re always war president  one minute ,"Mr. Lander's political stance, relationship with the president, responsibilities as mayor"
Brad Lander,16:07,look  donald trump elon musk stole  80 million new york city s bank account  uncovered  rang alarm bell  forced mayor court get back  stand fight  go court right  one week elected  became first financial officer anywhere country lay federal money comes budget really concrete plans put money reserve ll able respond ,"Donald Trump and Elon Musk theft, legal action, financial management and transparency"
(16:35),6:, look  corruption s washington  ca nt corruption new york city well  s andrew cuomo lied congress  perjury  also lied grieving families whose loved ones sent nursing homes protect  5 million book deal  s corrupt s crushed junkyard  m mayor  stand donald trump  make sure ve got budget s ready come medicaid  ve got independent authority ready keep providing reproductive healthcare  housing  education for,"corruption in New York City, Andrew Cuomo's actions, Donald Trump and Medicaid policy"
Melissa Russo,17:12,mr cuomo  would like respond ,"Sure, to accurately determine the main topics from the given text snippet you provided: ""Mr. Cuomo, would you like to respond?"", I would need more context. However, from just this sentence, the implied topics seem to be:

- Mr. Cuomo's response,
- Question asked to Mr. Cuomo,
- The context or issue prompting the response request.

Since the sentence itself is quite brief and lacks specific detail, the above topics are extrapolated based largely on the assumption that Mr. Cuomo is being prompted to respond to an unspecified issue or question."
Andrew Cuomo,17:12,yeah  please  mr lander little loose facts  wants talk facts nursing homes  ll talk facts  s parroting trump s allegations,"1. Mr. Lander's credibility and accuracy
2. Nursing homes
3. Influence of Trump's allegations"
Brad Lander,17:23,said long ,"prior claim, communication, confirmation"
Andrew Cuomo,17:24,… actually disproven federal government now,"The text snippet provided is too short and lacks sufficient context to effectively determine specific topics. Moreover, the excerpt given appears to discuss a situation where certain claims or ideas were refuted by the federal government. Could you please provide more details or a longer passage to enable a more accurate analysis of the main topics?"
Melissa Russo,17:28,ones talking specifically ,"To provide an accurate response, could you please provide the paragraph you are referring to?"
Andrew Cuomo,17:30,terms rate deaths nursing homes  new york number 38 50 number 38 12 states lower rate death  really something consider first worse anyone else  comes corruption  mr lander knows corruption  office approved  500000 contracts organizations associated wife,"Nursing home death rates, COVID-19 impact in New York, Corruption in government contracts"
Melissa Russo,17:58,okay ,Please provide the paragraph you want analyzed for the top 3 topics.
Andrew Cuomo,17:58,… said his,"It seems that the text provided is incomplete, making it difficult to extract topics accurately. Could you please provide the full paragraph or more context?"
Melissa Russo,17:59,would really like clear,"I apologize, but without the provided paragraph, I cannot extract the main topics or generate a comma-separated list of top topics from it. Please provide the paragraph you'd like me to analyze."
Andrew Cuomo,18:01,… deputy approved even though deputy reported ,"chain of command, approval process, reporting structure"
Melissa Russo,18:02,would like clear one thing  mr cuomo ,"To accurately extract the main topics from the specified paragraph, I would need the complete content of the paragraph. The given text ""I would just like to clear one thing up, Mr. Cuomo."" does not provide enough information to determine any specific topics. Please provide the full paragraph for a more accurate analysis."
Andrew Cuomo,18:04,s started corruption city,"To provide an accurate response, I need the complete paragraph that discusses the corruption of the city. The sentence fragment you provided doesn't contain enough information to extract the main topics. Could you please provide the full text?"
Brad Lander,18:06,s lie know  every word ,"accusation, dishonesty, confrontation"
Andrew Cuomo,18:10,yeah ,Please provide the paragraph you would like me to analyze.
Melissa Russo,18:10,hear  question whether s political whether congressional testimony truthful   ve time reflect  involved producing report undercounted nursing home deaths ,"political nature, congressional testimony, nursing home deaths report"
Andrew Cuomo,18:22,oh  doubt administration produced report undercount deaths ,"administration's report production, accuracy of death count, defense of report integrity"
Melissa Russo,18:27,okay  re still saying involved producing ,"denial of involvement, production, statement clarification"
Andrew Cuomo,18:30,s clear  s trump line  maga line  right  trump reelection ,"Trump re-election, MAGA, political strategy"
Melissa Russo,18:38,okay ,"To provide an accurate response, please provide the paragraph you want analyzed for the main topics."
Andrew Cuomo,18:38,new york reports always counted number deaths occurred  nursing home hospital ,"New York reports, death locations, nursing homes and hospitals"
Melissa Russo,18:47,okay ,"Sure, I'd be happy to help! Please provide the paragraph you'd like me to analyze, so I can identify the main topics for you."
Andrew Cuomo,18:47,dust is,It seems the paragraph you want to analyze is incomplete. Please provide the complete paragraph so I can help identify the main topics.
Melissa Russo,18:50,okay  move though  give people chance  ll lot time subjects  inaudible 001855  ,"moving on, giving others a chance, discussing other subjects"
David Ushery,18:54,right  hold  candidates  ca nt hear re talking ,"moderation in debates, communication issues, speaking etiquette"
Michael Blake,19:00,right  acknowledge deaths ,"The paragraph provided is very brief and lacks specific content to analyze. The main topic hinted at involves ""deaths,"" but no additional context is given to determine the nature, cause, or impact of these deaths. For a more accurate extraction of topics, please provide a more detailed paragraph. As it stands, I can deduce only one topic:

deaths"
Andrew Cuomo,19:01,okay  no,Please provide the paragraph you would like the main topics extracted from.
Michael Blake,19:02,mean  s black white  lie congress acknowledge deaths  15000 people died still wo nt answer questions ,"1. Lying to Congress
2. Acknowledgment of deaths
3. Response to public inquiries"
David Ushery,19:09,right  s chance answer question melissa presented  mr cuomo ,"Mr. Cuomo, Melissa, answering questions"
Andrew Cuomo,19:13, told congress truth   undercount deaths  counted  re number 38 50  think shows compared states went  first worst 12 states lower rate death  really thanking women men worked nursing homes nt  inaudible 001940  ,"Congressional testimony, nursing home deaths, state death rates ranking"
Sally Goldenberg,19:40,quick yesorno follow  may  question  involved producing report  s yesorno question ,"involvement in report production, yes-or-no question format, follow-up question"
Andrew Cuomo,19:48,aware report  spoke press conferences multiple,"report awareness, press conferences, public communication"
Melissa Russo,19:58, released  mr cuomo  question production report  okay  re going move  re getting answer  re not,"Interview interruption, production of the report, lack of response"
Andrew Cuomo,20:00,stand report ,"To properly determine the main topics, I need the actual content of the report mentioned in your message. Could you please provide the paragraph or details from the report?"
Sally Goldenberg,20:01,whether involved ,The provided text seems incomplete or possibly incorrectly pasted as it lacks coherence and does not provide sufficient information to accurately determine distinct topics. Could you please provide a complete and clear paragraph so I can accurately identify the main topics for you?
Melissa Russo,20:03,let s move ,"Apologies, but you did not provide the paragraph for me to analyze and extract the main topics from. Please provide the paragraph, and I'll be happy to help you identify the top three topics."
David Ushery,20:03,okay ,"Sure, I can help with that. However, you didn't include a paragraph for me to analyze. Please provide the paragraph you'd like me to extract the main topics from."
Melissa Russo,20:03,mr myrie  mayor adams governor hochul negotiated trump  former governor cuomo well  mayor  experience would bring table president trump ,"political negotiations, leadership experience, relationships with President Trump"
Zellnor Myrie,20:15,well  let say  people watching home afraid send children school  families afraid show court proceedings  seeing agents snatch people  right thing  want speak directly moment re hearing communication  re hearing mayor going stand backbone stand city  m son two undocumented immigrants came opportunity  parents could take school  could take hospital without fear deportation knew city would back ,"immigration concerns, community safety, political leadership"
(20:51),0:,s mayor m going  one stands necessary  course  re going work president s best interest city  demonstrated past six months interested helping city  grow tax base independent federal government s plan deliver one million homes next 10 years  s want free afterschool every kid city  s want extend prek 3k 600 pm ,"mayoral leadership, housing plan, educational programs"
Melissa Russo,21:20,thank  mr myrie  rosarina ,"It seems like there might be a misunderstanding or error in the request, as the provided text does not contain enough information to extract three distinct topics. The text only mentions a thank you to someone named ""Mr. Myrie"" and a possibly incomplete or incorrectly formatted portion ""Rosarina?"" The topics suggested by this text, albeit very limited, could be:

1. Gratitude expression
2. Addressing Mr. Myrie
3. Unclear reference or question to ""Rosarina"""
Rosarina Breton,21:22,thank  melissa  ms ramos   foreign language 002123   talked fighting president trump  also said campaign questionnaire seek partnership  envision working together  minute ,"President Trump, partnership, working together"
Jessica Ramos,21:37,already seen clear blueprint elegantly school president trump  saw mexican president claudia scheinbaum led negotiating tariff scandal president  m say administration litigate protect immigrants  protect genderaffirming care  ready withhold federal taxes trump unlawfully takes away funding things need  play chess smart  taxpayer dollars leverage ,"1. U.S. political strategy against President Trump
2. Protection of immigrants and gender-affirming care
3. Use of federal taxes as leverage"
Rosarina Breton,22:14,thank  ms ramos  mr stringer  next question goes  fighting trump key element campaign  anything trump wants willing give exchange something city needs  minute ,"campaign strategy, negotiation with Trump, city needs"
Scott Stringer,22:31,look  s critical elect mayor real experience  experience negotiating  experience understanding stakes  look  donald trump coming new york city  s hellbent collapsing social safety net  wants pick kids streets  also wants destroy everything ve built america city ,"election importance, mayoral experience, social safety implications"
(22:56),2:,know fight fought  trump  coming us  managed divest  4 billion fossil fuel  divested private prisons  divested gun manufacturers  nt slow  sped  right  need mayor s going put aside billion dollars  rainy day fund  need mayor s going insist banks next comptroller come table strategize shortterm plan get city congressional elections  one experience city government knows ,"fossil fuel divestment, private prison divestment, gun manufacturer divestment"
Rosarina Breton,23:29, mr stringer  question  wants something exchange  give ,"negotiation, exchange, decision-making"
Scott Stringer,23:34,m quid pro quoing trump  m going  strategy  m going organize thing happened days ford said new york   drop dead  re going go business community   m going go congressional leadership  schumer jeffries  m going organize city city government wage fight washington protect epicenter national economy new york city ,"political strategy, business community involvement, New York City economic protection"
Rosarina Breton,24:01,thank much  re going move mr tilson  question goes saying ve blasting mr trump since 2016 call el diablo spanish  devil  mayor  make deal  talking pact devil ,"Trump criticism, making deals with Trump, mayoral responsibilities"
Whitney Tilson,24:23,look  think ve fighting trump trumpism since long  since came escalator 10 years ago month  think democrats stop giving trump gifts like let defined far left  socialists  defund police nonsense open borders  et cetera  one area agree trump socialist like zohran tweets nypd  quote  wicked calls defund dismantle nypd  madness costing us elections s trump doubled share new york city vote last three elections 17  30   ve got move away far left socialism s sinking party city ,"Trump and Trumpism, impact of far-left policies on Democratic Party, stance on police funding and management"
David Ushery,25:11,brief response  mr mamdani ,Certainly! Please provide the paragraph you would like me to analyze for extracting the main topics.
Zohran Mamdani,25:13,want clear police critical role play creating public safety  speak officers beat rankandfile  hear frustration join force tackle serious crimes  instead asking play roles mental health professionals social workers  putting forward plan create department community safety tackle gun violence  homelessness  mental health crisis,"police role in public safety, creation of a department of community safety, tackling gun violence and mental health issues"
David Ushery,25:39,right  mr mamdani  might get  inaudible 002541  want brief response to,"Unable to extract, audio content referred ([inaudible 00:25:41]), insufficient context for analysis."
Zohran Mamdani,25:42,s critically important think s important moment candidate right absolutely mischaracterizing anything ve put forward campaign ,"political debate, candidate mischaracterization, campaign issues"
Whitney Tilson,25:50,check twitter feed  deleted tweet calls nypd wicked defund dismantle nypd  s still ,"NYPD, defunding police, Twitter activity"
Rosarina Breton,25:59,thank  mr tilson ,"Mr. Tilson, thank you, topics"
David Ushery,26:00,right  thank  mr blake  often highlight past roles obama administration leadership national democratic party  since lost white house struggling regroup  make effective comes negotiating president trump mayor  one minute ,"Obama administration, National Democratic Party, negotiating with President Trump"
Michael Blake,26:19,well  person stage s part team actually defeated donald trump  black man understands trump goes black folk  ask exonerated five barack obama  like  win  experience make sure address s happening new york city  first foremost  anytime trump elon try take funds  withhold taxes sending dc specifically working companies contracts new york city say   abide unconstitutional behavior  ,"1. Trump's antagonism towards Black individuals
2. The experience of defeating Donald Trump
3. Financial strategies against Trump and Elon Musk's actions in New York City"
(26:47),6:,second  ban ice schools places worship  designate safe havens  reason ice going immigrants  particular families like mine jamaica  third  since white house experience president obama… state house experience locally well s happening reverend community leader  need understand someone right lead new york city  heard people able answer question  re saying actually represent  ready day one white house state house house  michael blake ready lead ,"ICE policies, sanctuary safe havens, leadership qualifications"
David Ushery,27:21,thank  mr blake  ms adams  powerful campaign supporter new york attorney general letitia james  archrival president trump  would ensure  extension  new yorkers  casualty war  one minute ,"Campaign support, political rivalry, impact on New Yorkers"
Adrienne Adams,27:36,thank much  mentioned attorney general  notorious  baddest attorney general new york nation ever seen   yes  endorse  name donald trump comes  advice get attorney general donald trump comes way causes problems new yorkers  sue  exactly right speak  executive order front us illegal  mayor eric adams first deputy mayor sign ,"1. Attorney General's endorsement
2. Legal actions against Donald Trump
3. Executive order by Mayor Eric Adams"
(28:08),7:,mayor nt even sign  first deputy mayor signed would allow ice come onto rikers island… donald trump s ice come onto rikers island  illegal since year 2014 tro  temporary restraining order  judge rosado feels case merit  sued new york win  always mayor stand immigrants  donald trump s ice place rikers island  donald trump s ice place pulling people taking court  legal,"Rikers Island policy, ICE involvement, legal response against ICE operations"
David Ushery,28:38,okay  ms adams ,"To provide an accurate list, I need to see the content of the paragraph you are referring to. Please include the paragraph text, and I'll be able to determine the main topics from it."
Adrienne Adams,28:39,… dates  rights ,"The provided text, ""… dates now. No rights."" is too brief and lacks clear context or comprehensive content to accurately extract or determine the top three topics. Please provide more detailed text or clarify the context to assist better."
David Ushery,28:40,thank ,"To properly assist you, I would need the paragraph from which to extract the main topics. Please provide the paragraph you are referring to, and I will be able to help you identify the top three topics."
Adrienne Adams,28:40,new york ,"In order to provide an accurate response, I need the full content of the paragraph related to ""Not in my New York."" The provided text is incomplete and does not offer sufficient information to determine the top 3 topics. Please provide the full paragraph or additional context."
David Ushery,28:41,thank  ms adams  sally goldenberg ,"The paragraph provided is too brief and lacks substantial content to extract three distinct topics. It appears primarily to be a formal or polite acknowledgment directed at someone named Ms. Adams, followed by a mention of another person, Sally Goldenberg. Given the limited information, the main topics identifiable are:

1. Acknowledgement of Ms. Adams
2. Mention of Sally Goldenberg"
Sally Goldenberg,28:43,thank  thank  david  let s turn public safety  s top concern many new yorkers  especially underground subways  many new yorkers rely get work  re seeing fewer robberies  overnight  two cops every train  still many new yorkers simply nt feel safe subways  d like know plan change  30 seconds re going change order start  ms ramos ,"public safety, subway safety, police presence on subways"
